date;state;confirmed;tmax;tmin;prec
22/04/2020;Illinois;35107;15,8;2,74615385;0,1941964
23/04/2020;Illinois;36937;20,271186;5,815254;43,99602
24/04/2020;Illinois;39658;16,776923;6,573077;37,23265
25/04/2020;Illinois;41777;15,614286;6,228571;114,70648
26/04/2020;Illinois;43903;12,118644;5,198305;196,4739
27/04/2020;Illinois;45883;18,0046512;4,3697674;2,087156
28/04/2020;Illinois;48102;24,266667;14,633333;39,52744
22/01/2020;Massachusetts;0;-1,098276;-13,963793;0
23/01/2020;Massachusetts;0;3,863333;-12,198333;0
24/01/2020;Massachusetts;0;7,043333333;-7,765;0,01357466
25/01/2020;Massachusetts;0;8,064407;-2,732203;17,24201
26/01/2020;Massachusetts;0;7,598276;1,410345;180,69643
27/01/2020;Massachusetts;0;7,235;-0,035;0,45
28/01/2020;Massachusetts;0;5,116666667;0,355;0,09649123
29/01/2020;Massachusetts;0;3,446666667;-3,09;0,04803493
30/01/2020;Massachusetts;0;2,461017;-8,489831;0
31/01/2020;Massachusetts;0;3,098305085;-8,472881356;0,01369863
01/02/2020;Massachusetts;1;4,2716667;-4,4666667;7,855204
02/02/2020;Massachusetts;1;3,82542373;-1,53220339;0,4885845
03/02/2020;Massachusetts;1;5,501666667;-3,931666667;0,05529954
04/02/2020;Massachusetts;1;7,32666667;-2,695;0,1441441
05/02/2020;Massachusetts;1;6,5616667;-0,8566667;13,286996
06/02/2020;Massachusetts;1;3,939655;-2,068966;78,46948
07/02/2020;Massachusetts;1;5,078333;-1,627119;90,31925
08/02/2020;Massachusetts;1;4,362712;-6,388136;50,07177
09/02/2020;Massachusetts;1;0,71355932;-9,53220339;0,0531401
10/02/2020;Massachusetts;1;4,620339;-4,837288;24,62802
11/02/2020;Massachusetts;1;5,381034;1,015517;48,75
12/02/2020;Massachusetts;1;4,91525424;-0,03898305;44,0280374
13/02/2020;Massachusetts;1;4,99491525;-0,04237288;128,4951923
14/02/2020;Massachusetts;1;2,742373;-7,054237;36,50711
15/02/2020;Massachusetts;1;-2,773684211;-14,75263158;0,04040404
16/02/2020;Massachusetts;1;1,41785714;-9,88928571;0,2864322
17/02/2020;Massachusetts;1;5,386207;-5,232759;0
18/02/2020;Massachusetts;1;5,4344828;-4,6086207;7,916256
19/02/2020;Massachusetts;1;4,965517;-2,062069;71,44076
20/02/2020;Massachusetts;1;3,1;-7,722413793;0,05263158
21/02/2020;Massachusetts;1;-0,55636364;-11,38181818;0,1813725
22/02/2020;Massachusetts;1;2,508928571;-9,017857143;0,06372549
23/02/2020;Massachusetts;1;8,522807018;-5,670175439;0,02392344
24/02/2020;Massachusetts;1;12,55344828;-3,610344828;0,01442308
25/02/2020;Massachusetts;1;13,3210526;0,6298246;5,972093
26/02/2020;Massachusetts;1;10,149153;3,483051;28,24651
27/02/2020;Massachusetts;1;9,091525;1,930508;190,83178
28/02/2020;Massachusetts;1;6,133898;-3,847458;36,99533
29/02/2020;Massachusetts;1;1,954385965;-6,829824561;0,03921569
01/03/2020;Massachusetts;1;0,978;-8,69;0,01522843
02/03/2020;Massachusetts;1;5,45769231;-7,90961538;0,4951456
03/03/2020;Massachusetts;2;13,8607843;0,745098;2,637681
04/03/2020;Massachusetts;2;13,759184;3,432653;32,13615
05/03/2020;Massachusetts;2;10,11836735;-0,057142857;0,05418719
06/03/2020;Massachusetts;6;9,64166667;-3,24166667;0,4393939
07/03/2020;Massachusetts;6;7,634091;-3,286364;16,00529
08/03/2020;Massachusetts;22;8,369565;-3,943478;0
09/03/2020;Massachusetts;22;15,4319149;-0,2255319;0
10/03/2020;Massachusetts;41;18,702;3,858;0,6231884
11/03/2020;Massachusetts;92;15,842;2,512;1,521531
12/03/2020;Massachusetts;107;10,16956522;-1,51956522;0,1642512
13/03/2020;Massachusetts;123;11,014583;1,866667;45,48113
14/03/2020;Massachusetts;138;12,571739;2,486957;45,12871
15/03/2020;Massachusetts;138;9,3125;-0,435416667;0,03960396
16/03/2020;Massachusetts;187;6,228;-5,516;0,4472362
17/03/2020;Massachusetts;217;5,939583;-2,933333;12,14925
18/03/2020;Massachusetts;252;9,2625;-1,38125;25,21569
19/03/2020;Massachusetts;328;9,80625;1,122917;71,29
20/03/2020;Massachusetts;413;12,114894;2,859574;126,71845
21/03/2020;Massachusetts;523;14,8770833;0,7895833;3,183168
22/03/2020;Massachusetts;640;6,43125;-5,106382979;0,01470588
23/03/2020;Massachusetts;777;4,583333;-4,058333;26,62069
24/03/2020;Massachusetts;1159;6,086275;-0,672549;320,85981
25/03/2020;Massachusetts;1838;7,16078431;0,08235294;1,0511628
26/03/2020;Massachusetts;2417;8,2229167;-0,2895833;2,070423
27/03/2020;Massachusetts;3240;13,877551;0,7244898;1,119048
28/03/2020;Massachusetts;4257;14,0981132;-1,8584906;5,084906
29/03/2020;Massachusetts;4955;9,716981;1,979245;96,54884
30/03/2020;Massachusetts;5752;6,787037;2,907407;122,54419
31/03/2020;Massachusetts;6620;5,7980392;-0,1098039;26,036036
